Subject,Social condition,Emotional condition,Avg. amplitude
18b,225,Angry,-1.3035794906720788
18b,225,Happy,1.2013584367666719
18b,225,Neutral,-0.8954619052409857
18a,231,Angry,-1.258499367218615
18a,231,Happy,-0.10116711708340911
18a,231,Neutral,-0.49607912180209085
18b,231,Angry,-2.5592159011273496
18b,231,Happy,-1.1368661475888606
18b,231,Neutral,-2.2113380270581904
18a,224,Angry,
18a,224,Happy,-8.952797870607457
18a,224,Neutral,-8.257906757244179
18b,224,Angry,
18b,224,Happy,-8.952797870607457
18b,224,Neutral,-8.257906757244179
18a,225,Angry,-17.72305549568248
18a,225,Happy,-7.522778473193863
18a,225,Neutral,-5.581612217871641
18b,225,Angry,-1.3499500592796787
18b,225,Happy,-2.079444348652457
18b,225,Neutral,-3.7550575260224823
18a,231,Angry,-12.875132542452171
18a,231,Happy,-6.545916329461878
18a,231,Neutral,-8.150423214105095
18b,231,Angry,-3.4451000683286734
18b,231,Happy,-4.044187012920954
18b,231,Neutral,-3.306835604563238
